Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,temperature,wind_speed,precipitation,season,league_home_avg,league_away_avg,HomeTeam_goals_5avg,HomeTeam_win_pct,AwayTeam_goals_5avg,AwayTeam_win_pct,Home_clean_sheets_5,Home_goals_conceded_5avg,Away_clean_sheets_5,Away_goals_conceded_5avg,Home_shot_conv_3,Away_shot_conv_3,Home_avg_cards_5,Away_avg_cards_5,Home_comeback_pts_10,Away_comeback_pts_10,h2h_goal_diff
F1,2017-04-08,Monaco,Toulouse,3,2,H,1,1,D,17,6,7,3,12,23,8,2,1,3,0,0,27.35416666666666,4.391666666666666,0.0,2017,1.5289473684210526,1.1894736842105262,1.4157894736842105,0.5,1.0394736842105263,0.5,0.0,1.4157894736842105,0.0,1.0394736842105263,0.11179456589356812,0.10331107863098202,1.5701119157340355,1.8169848584595127,0.0,0.0,0
F1,2017-05-08,Lyon,Strasbourg,4,0,H,1,0,H,12,7,7,1,11,16,3,4,2,3,0,0,25.59583333333333,10.279166666666669,0.2,2017,1.5289473684210526,1.1894736842105262,1.4157894736842105,0.5,1.0394736842105263,0.5,0.0,1.4157894736842105,0.0,1.0394736842105263,0.11179456589356812,0.10331107863098202,1.5701119157340355,1.8169848584595127,0.0,0.0,0
F1,2017-05-08,Metz,Guingamp,1,3,A,1,1,D,6,13,4,5,9,13,3,3,1,2,0,0,19.6375,15.54166666666667,0.4,2017,1.5289473684210526,1.1894736842105262,1.4157894736842105,0.0,1.0394736842105263,0.0,0.0,1.4157894736842105,0.0,1.0394736842105263,0.11179456589356812,0.10331107863098202,1.5701119157340355,1.8169848584595127,0.0,0.0,0
F1,2017-05-08,Montpellier,Caen,1,0,H,0,0,D,10,8,2,1,9,11,9,3,2,1,0,0,30.2375,9.845833333333337,1.2,2017,1.5289473684210526,1.1894736842105262,1.4157894736842105,0.0,1.0394736842105263,0.0,0.0,1.4157894736842105,0.0,1.0394736842105263,0.11179456589356812,0.10331107863098202,1.5701119157340355,1.8169848584595127,0.0,0.0,0
F1,2017-05-08,Paris SG,Amiens,2,0,H,1,0,H,16,7,5,1,9,12,8,3,0,1,0,0,19.4125,14.133333333333333,4.799999999999999,2017,1.5289473684210526,1.1894736842105262,1.4157894736842105,0.0,1.0394736842105263,0.0,0.0,1.4157894736842105,0.0,1.0394736842105263,0.11179456589356812,0.10331107863098202,1.5701119157340355,1.8169848584595127,0.0,0.0,0
F1,2017-05-08,St Etienne,Nice,1,0,H,1,0,H,8,6,3,2,11,8,2,7,2,1,0,0,22.429166666666664,9.416666666666666,0.5,2017,1.5289473684210526,1.1894736842105262,1.4157894736842105,0.0,1.0394736842105263,0.0,0.0,1.4157894736842105,0.0,1.0394736842105263,0.11179456589356812,0.10331107863098202,1.5701119157340355,1.8169848584595127,0.0,0.0,0
F1,2017-05-08,Troyes,Rennes,1,1,D,0,0,D,11,16,4,4,13,8,6,7,1,0,0,0,20.054166666666667,14.629166666666668,0.3,2017,1.5289473684210526,1.1894736842105262,1.4157894736842105,0.0,1.0394736842105263,0.0,0.0,1.4157894736842105,0.0,1.0394736842105263,0.11179456589356812,0.10331107863098202,1.5701119157340355,1.8169848584595127,0.0,0.0,0
F1,2017-06-08,Angers,Bordeaux,2,2,D,1,1,D,9,7,5,4,16,15,0,5,3,2,0,0,17.729166666666668,7.929166666666666,0.0,2017,1.5289473684210526,1.1894736842105262,1.4157894736842105,0.0,1.0394736842105263,0.0,0.0,1.4157894736842105,0.0,1.0394736842105263,0.11179456589356812,0.10331107863098202,1.5701119157340355,1.8169848584595127,0.0,1.0,0
F1,2017-06-08,Lille,Nantes,3,0,H,0,0,D,14,9,5,4,11,17,15,3,2,3,0,0,16.683333333333337,10.133333333333336,0.0,2017,1.5289473684210526,1.1894736842105262,1.4157894736842105,0.0,1.0394736842105263,0.0,0.0,1.4157894736842105,0.0,1.0394736842105263,0.11179456589356812,0.10331107863098202,1.5701119157340355,1.8169848584595127,0.0,0.0,0
F1,2017-06-08,Marseille,Dijon,3,0,H,0,0,D,18,12,5,1,7,10,7,3,1,0,0,0,26.820833333333336,25.32916666666667,0.8,2017,1.5289473684210526,1.1894736842105262,1.4157894736842105,0.0,1.0394736842105263,0.0,0.0,1.4157894736842105,0.0,1.0394736842105263,0.11179456589356812,0.10331107863098202,1.5701119157340355,1.8169848584595127,0.0,0.0,0
F1,2017-11-08,Nice,Troyes,1,2,A,0,0,D,20,10,6,4,11,8,10,4,2,3,0,0,22.42083333333333,10.5875,0.3,2017,1.5289473684210526,1.1894736842105262,1.4157894736842105,0.0,1.0394736842105263,0.0,0.0,1.4157894736842105,0.0,1.0394736842105263,0.11179456589356812,0.10331107863098202,1.5701119157340355,1.8169848584595127,0.0,0.0,0
F1,2017-11-08,Rennes,Lyon,1,2,A,0,0,D,17,17,5,8,9,16,14,2,1,3,0,0,16.233333333333338,10.979166666666664,0.0,2017,1.5289473684210526,1.1894736842105262,1.4157894736842105,0.0,1.0394736842105263,0.0,0.0,1.4157894736842105,0.0,1.0394736842105263,0.11179456589356812,0.10331107863098202,1.5701119157340355,1.8169848584595127,0.0,1.0,0
F1,2017-12-08,Amiens,Angers,0,2,A,0,1,A,10,12,1,6,8,18,5,5,3,2,0,0,16.925,18.191666666666663,2.8000000000000003,2017,1.5289473684210526,1.1894736842105262,1.4157894736842105,0.0,1.0394736842105263,0.0,0.0,1.4157894736842105,0.0,1.0394736842105263,0.11179456589356812,0.10331107863098202,1.5701119157340355,1.8169848584595127,0.0,0.0,0
