Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,temperature,wind_speed,precipitation,season,league_home_avg,league_away_avg,HomeTeam_goals_5avg,HomeTeam_win_pct,AwayTeam_goals_5avg,AwayTeam_win_pct,h2h_goal_diff
2013-08-31,Evian Thonon Gaillard,Lyon,2,1,H,2.0,0.0,H,,15.0,6.0,5.0,2.0,10.0,13.0,3.0,10.0,1.0,1.0,0.0,0.0,19.779166666666672,6.129166666666666,0.0,2013,1.4157894736842105,1.0394736842105263,1.0,0.0,3.0,,0.0
2013-09-13,Bordeaux,Paris SG,0,2,A,0.0,1.0,A,,6.0,14.0,1.0,7.0,14.0,13.0,1.0,5.0,2.0,2.0,0.0,0.0,19.183333333333337,4.624999999999999,0.0,2013,1.4157894736842105,1.0394736842105263,0.5,0.3333333333333333,1.5,0.3333333333333333,0.0
2013-09-14,Nantes,Sochaux,1,0,H,0.0,0.0,D,,11.0,1.0,5.0,0.0,12.0,8.0,3.0,2.0,0.0,1.0,0.0,0.0,15.516666666666673,15.358333333333333,17.6,2013,1.4157894736842105,1.0394736842105263,1.5,0.3333333333333333,1.0,0.0,0.0
2013-09-14,Valenciennes,St Etienne,1,3,A,0.0,1.0,A,,10.0,10.0,3.0,4.0,11.0,9.0,5.0,0.0,2.0,1.0,0.0,0.0,15.245833333333332,17.245833333333337,4.199999999999999,2013,1.4157894736842105,1.0394736842105263,1.5,0.3333333333333333,0.5,0.3333333333333333,0.0
2013-09-14,Guingamp,Bastia,1,1,D,0.0,0.0,D,,7.0,11.0,5.0,1.0,19.0,18.0,1.0,1.0,2.0,3.0,0.0,0.0,14.312499999999998,18.950000000000003,4.7,2013,1.4157894736842105,1.0394736842105263,1.5,0.3333333333333333,0.0,0.0,0.0
2013-09-14,Ajaccio,Evian Thonon Gaillard,2,3,A,0.0,2.0,A,,18.0,12.0,8.0,5.0,10.0,20.0,7.0,5.0,2.0,3.0,0.0,0.0,20.4,10.408333333333331,0.0,2013,1.4157894736842105,1.0394736842105263,0.0,0.0,0.0,,0.0
2013-09-14,Montpellier,Reims,0,0,D,0.0,0.0,D,,16.0,9.0,3.0,3.0,8.0,8.0,4.0,3.0,2.0,2.0,0.0,0.0,19.441666666666663,10.812500000000002,0.0,2013,1.4157894736842105,1.0394736842105263,1.5,0.3333333333333333,1.0,0.3333333333333333,0.0
2013-09-15,Lille,Nice,0,2,A,0.0,2.0,A,,22.0,5.0,9.0,4.0,16.0,16.0,10.0,2.0,3.0,3.0,0.0,0.0,13.7125,14.45,4.9,2013,1.4157894736842105,1.0394736842105263,1.0,0.6666666666666666,0.0,0.0,0.0
2013-09-15,Lyon,Rennes,0,0,D,0.0,0.0,D,,18.0,5.0,6.0,3.0,16.0,14.0,8.0,2.0,0.0,1.0,0.0,0.0,15.037500000000003,12.125000000000004,14.1,2013,1.4157894736842105,1.0394736842105263,2.0,0.3333333333333333,1.5,0.3333333333333333,0.0
2013-09-15,Monaco,Lorient,1,0,H,1.0,0.0,H,,11.0,6.0,3.0,0.0,13.0,16.0,2.0,1.0,3.0,3.0,0.0,0.0,19.3625,6.541666666666667,0.4,2013,1.4157894736842105,1.0394736842105263,2.0,0.3333333333333333,0.0,0.0,0.0
2013-09-20,St Etienne,Toulouse,1,2,A,1.0,0.0,H,,18.0,11.0,3.0,6.0,19.0,17.0,4.0,5.0,2.0,2.0,0.0,0.0,12.804166666666667,9.691666666666665,0.0,2013,1.4157894736842105,1.0394736842105263,1.5,0.6666666666666666,0.3333333333333333,0.0,0.0
2013-09-21,Sochaux,Lille,0,2,A,0.0,2.0,A,,14.0,15.0,6.0,8.0,18.0,14.0,4.0,4.0,2.0,1.0,0.0,0.0,12.775,4.895833333333333,0.0,2013,1.4157894736842105,1.0394736842105263,0.5,0.0,0.5,0.0,0.0
2013-09-21,Reims,Guingamp,1,1,D,0.0,1.0,A,,15.0,15.0,3.0,4.0,15.0,12.0,7.0,6.0,3.0,1.0,0.0,0.0,14.495833333333332,4.608333333333334,0.0,2013,1.4157894736842105,1.0394736842105263,1.0,0.3333333333333333,0.0,0.0,0.0
2013-09-21,Rennes,Ajaccio,2,0,H,2.0,0.0,H,,14.0,17.0,7.0,2.0,20.0,13.0,6.0,6.0,2.0,2.0,0.0,0.0,16.0625,3.1458333333333326,0.0,2013,1.4157894736842105,1.0394736842105263,1.0,0.3333333333333333,0.5,0.0,0.0
2013-09-21,Bastia,Marseille,0,0,D,0.0,0.0,D,,12.0,11.0,5.0,1.0,19.0,10.0,4.0,4.0,2.0,0.0,0.0,0.0,20.90833333333333,6.0541666666666645,0.0,2013,1.4157894736842105,1.0394736842105263,2.0,0.6666666666666666,1.6666666666666667,0.5,0.0
2013-09-21,Evian Thonon Gaillard,Montpellier,2,2,D,0.0,1.0,A,,12.0,8.0,5.0,3.0,12.0,11.0,3.0,1.0,2.0,3.0,0.0,1.0,14.349999999999996,6.000000000000001,0.0,2013,1.4157894736842105,1.0394736842105263,1.3333333333333333,0.25,1.5,0.0,0.0
2013-09-22,Lorient,Bordeaux,3,3,D,2.0,3.0,A,,16.0,11.0,10.0,3.0,13.0,14.0,3.0,4.0,1.0,2.0,0.0,0.0,18.504166666666663,14.316666666666665,0.0,2013,1.4157894736842105,1.0394736842105263,1.5,0.6666666666666666,1.0,0.0,0.0
2013-09-22,Lyon,Nantes,3,1,H,1.0,1.0,D,,11.0,9.0,5.0,2.0,18.0,12.0,6.0,4.0,0.0,0.0,0.0,0.0,15.8125,7.462499999999999,0.0,2013,1.4157894736842105,1.0394736842105263,1.3333333333333333,0.25,0.5,0.0,0.0
2013-09-22,Nice,Valenciennes,4,0,H,2.0,0.0,H,,10.0,8.0,5.0,1.0,13.0,14.0,4.0,3.0,1.0,2.0,0.0,0.0,20.60833333333333,4.441666666666666,0.0,2013,1.4157894736842105,1.0394736842105263,2.0,0.3333333333333333,0.0,0.0,0.0
2013-09-22,Paris SG,Monaco,1,1,D,1.0,1.0,D,,18.0,15.0,2.0,4.0,5.0,18.0,6.0,2.0,1.0,3.0,0.0,0.0,18.391666666666666,4.270833333333333,0.0,2013,1.4157894736842105,1.0394736842105263,1.5,0.3333333333333333,2.0,0.6666666666666666,0.0
2013-09-24,Lille,Evian Thonon Gaillard,3,0,H,2.0,0.0,H,,12.0,6.0,5.0,1.0,16.0,12.0,4.0,2.0,1.0,2.0,0.0,0.0,15.387499999999996,6.650000000000001,0.0,2013,1.4157894736842105,1.0394736842105263,0.6666666666666666,0.5,1.5,0.3333333333333333,0.0
2013-09-24,Marseille,St Etienne,2,1,H,2.0,1.0,H,,12.0,11.0,5.0,2.0,10.0,17.0,8.0,11.0,1.0,1.0,0.0,0.0,19.754166666666663,5.066666666666666,0.0,2013,1.4157894736842105,1.0394736842105263,1.5,0.3333333333333333,1.3333333333333333,0.5,0.0
2013-09-25,Nantes,Nice,2,0,H,1.0,0.0,H,,16.0,4.0,6.0,0.0,10.0,12.0,8.0,0.0,1.0,1.0,0.0,0.0,18.97083333333333,5.579166666666667,0.0,2013,1.4157894736842105,1.0394736842105263,1.3333333333333333,0.5,0.6666666666666666,0.25,0.0
2013-09-25,Toulouse,Lorient,1,0,H,0.0,0.0,D,,14.0,11.0,4.0,4.0,13.0,17.0,6.0,3.0,1.0,2.0,0.0,0.0,22.245833333333334,13.8625,0.0,2013,1.4157894736842105,1.0394736842105263,1.0,0.0,0.0,0.0,0.0
2013-09-25,Monaco,Bastia,3,0,H,2.0,0.0,H,,19.0,12.0,9.0,5.0,9.0,14.0,10.0,5.0,1.0,1.0,0.0,0.0,19.39583333333333,6.379166666666667,0.0,2013,1.4157894736842105,1.0394736842105263,1.6666666666666667,0.5,0.3333333333333333,0.0,0.0
2013-09-25,Valenciennes,Paris SG,0,1,A,0.0,1.0,A,,14.0,6.0,3.0,2.0,13.0,10.0,8.0,4.0,1.0,4.0,0.0,0.0,15.579166666666667,5.3625,0.5,2013,1.4157894736842105,1.0394736842105263,1.3333333333333333,0.25,1.6666666666666667,0.5,0.0
2013-09-25,Bordeaux,Reims,0,0,D,0.0,0.0,D,,20.0,9.0,7.0,3.0,15.0,23.0,15.0,4.0,1.0,2.0,0.0,0.0,21.829166666666666,6.4875,0.0,2013,1.4157894736842105,1.0394736842105263,0.3333333333333333,0.25,0.6666666666666666,0.25,0.0
