iter	MultiClass
0	1.060651612
1	1.030687238
2	1.012225396
3	0.9933909829
4	0.981627545
5	0.9639805564
6	0.955993547
7	0.9419301296
8	0.9330438976
9	0.9223942863
10	0.9040516313
11	0.8888670207
12	0.8748450716
13	0.8685731843
14	0.8528936047
15	0.8450677843
16	0.8329384228
17	0.8233832801
18	0.8099877533
19	0.7996750965
20	0.7879077548
21	0.7711740481
22	0.7616028864
23	0.7560874797
24	0.7425253248
25	0.7339335476
26	0.7207191191
27	0.7092255949
28	0.6966394402
29	0.6905113574
30	0.6805649653
31	0.6776474917
32	0.6704230969
33	0.6643515223
34	0.6598369429
35	0.6502634244
36	0.6415975711
37	0.6352681867
38	0.6289612432
39	0.6220868473
40	0.6151107764
41	0.6064888863
42	0.5977815037
43	0.5906051897
44	0.5794914674
45	0.5739000254
46	0.5659362542
47	0.5601810012
48	0.5546493793
49	0.5468471392
50	0.5380423808
51	0.5308174787
52	0.5276865688
53	0.5211652337
54	0.5153484565
55	0.5116688261
56	0.5072158139
57	0.502409027
58	0.4977412511
59	0.4919500979
60	0.4876647848
61	0.4842924827
62	0.4796894151
63	0.4729069663
64	0.467138507
65	0.4627680625
66	0.4572910768
67	0.4476322401
68	0.4440659233
69	0.4392370362
70	0.433904377
71	0.4273761319
72	0.4226713104
73	0.4177398657
74	0.4166271089
75	0.4142789087
76	0.4067926322
77	0.4037026645
78	0.3996157245
79	0.3961054038
80	0.3922921533
81	0.3886144476
82	0.3844153367
83	0.3818907748
84	0.379231024
85	0.3743335436
86	0.3681416885
87	0.3653010381
88	0.3622312554
89	0.358295896
90	0.3552999218
91	0.3494645002
92	0.3446902675
93	0.3405466098
94	0.3368193553
95	0.3325762209
96	0.3284891724
97	0.3261949775
98	0.3226028481
99	0.3176963086
