iter	Passed	Remaining
0	1	186
1	3	195
2	5	179
3	7	169
4	8	162
5	10	161
6	11	157
7	13	154
8	14	150
9	16	149
10	18	147
11	19	145
12	21	146
13	23	143
14	25	141
15	26	139
16	27	136
17	29	134
18	30	131
19	32	130
20	34	128
21	35	127
22	38	127
23	39	125
24	41	125
25	43	124
26	45	122
27	46	120
28	48	118
29	50	117
30	52	116
31	53	113
32	55	111
33	56	109
34	57	107
35	59	105
36	60	103
37	62	101
38	64	100
39	65	98
40	67	97
41	69	95
42	70	93
43	72	91
44	74	90
45	75	88
46	77	87
47	78	85
48	80	83
49	82	82
50	83	80
51	85	78
52	86	77
53	88	75
54	89	73
55	91	71
56	92	70
57	94	68
58	95	66
59	97	64
60	99	63
61	100	61
62	102	60
63	103	58
64	105	56
65	106	55
66	108	53
67	110	51
68	111	50
69	113	48
70	114	46
71	116	45
72	117	43
73	119	41
74	120	40
75	122	38
76	124	37
77	125	35
78	126	33
79	128	32
80	129	30
81	131	28
82	133	27
83	135	25
84	136	24
85	138	22
86	139	20
87	141	19
88	143	17
89	144	16
90	146	14
91	147	12
92	149	11
93	151	9
94	152	8
95	154	6
96	155	4
97	157	3
98	158	1
99	160	0
